key,Img_path,GD,OCMR,Is_OCMR_true,MolVec,Is_MolVec_true,OSRA,Is_OSRA_true,Imago,Is_Imago_true,OCMR_TanimotoSimilarity,MolVec_TanimotoSimilarity,OSRA_TanimotoSimilarity,Imago_TanimotoSimilarity,OCMR_edit_distance,MolVec_edit_distance,OSRA_edit_distance,Imago_edit_distance,len_gd,len_ocmr,len_molvec,len_osra,len_imago
P011,./images/P011.png,CN(C)CC=1C=C(C=CC1)C1=NC(=NC=C1)NC1=CC=C(C=C1)N1CCOCC1,CN(C)CC1=CC=CC(C2=NC(NC3=CC=C(N4CCOCC4)C=C3)=NC=C2)=C1,1,CN(C)CC1=CC=CC(C2=NC(NC3=CC=C(N4CCOCC4)C=C3)=NC=C2)=C1,1,CN(Cc1cccc(c1)c1ccnc(n1)Nc1ccc(cc1)N1CCOCC1)C,1,C1COCCN1.CC.CN(C)Cc1cccc(-c2ccnc(Nc3ccccc3)n2)c1,0,1.0,1.0,1.0,0.646774193548387,0,0,0,10,54,54,54,45,48
P012,./images/P012.png,CN(C)CC=1C=C(C=CC1)C1=NC(=NC=C1)C1=C(C=NC(=C1)OC)N,COC1=NC=C(NC2=NC=CC(C3=CC(CN(C)C)=CC=C3)=N2)C=C1,0,COC1=NC=C(NC2=NC=CC(C3=CC(CN(C)C)=CC=C3)=N2)C=C1,0,*/C=C\C(=C/C(=C)CN(C)C)\c1ccnc(n1)Nc1ccc(nc1)OC,0,CC.COc1ccc(Nc2nccc(-c3cccc(CN(C)C)c3)n2)cn1,0,0.5979493507256596,0.5979493507256596,0.3920917773119031,0.5949820788530467,6,6,34,6,50,48,48,47,43
P013,./images/P013.png,CC=1SC(=C(N1)C)C1=NC(=NC=C1)C1=NC=CC=C1,CC1=NC(C)=C(C2=NC(NC3=CN=CC=C3)=NC=C2)S1,0,CC1=NC(C)=C(C2=NC(NC3=CN=CC=C3)=NC=C2)S1,0,Cc1nc(c(s1)c1ccnc(n1)Nc1cccnc1)C,0,Cc1nc(C)c(C2=*(C)(c3cccnc3)C=C2)s1,0,0.6002994011976048,0.6002994011976048,0.6002994011976048,0.4648423766553381,3,3,3,13,39,40,40,32,34
P014,./images/P014.png,COC1=CC=C(C=N1)NC1=NC=CC(=N1)C1=C(N=C(S1)NC)C,CNC1=NC(C)=C(C2=NC(NC3=CN=C(OC)C=C3)=NC=C2)S1,1,CNC1=NC(C)=C(C2=NC(NC3=CN=C(OC)C=C3)=NC=C2)S1,1,CNc1nc(c(s1)c1ccnc(n1)Nc1ccc(nc1)OC)C,1,CNc1nc(C)c(C2=*(C)(c3ccc(OC)nc3)C=C2)s1,0,1.0,1.0,1.0,0.47563136907399206,0,0,0,11,45,45,45,37,39
P015,./images/P015.png,ClC1=CC=C(C=N1)NC1=NC=CC(=N1)C1=C(N=C(S1)NC)C,CNC1=NC(C)=C(C2=NC(NC3=CN=C(Cl)C=C3)=NC=C2)S1,1,CNC1=NC(C)=C(C2=NC(NC3=CN=C(Cl)C=C3)=NC=C2)S1,1,CNc1nc(c(s1)c1ccnc(n1)Nc1ccc(nc1)Cl)C,1,CNc1nc(C)c(C2=*(C)(c3ccc(Cl)nc3)C=C2)s1,0,1.0,1.0,1.0,0.4840966462315182,0,0,0,11,45,45,45,37,39
P016,./images/P016.png,CN(C=1SC(=C(N1)C)C1=NC(=NC=C1)NC=1C=NC(=CC1)OC)C,COC1=NC=C(NC2=NC=CC(C3=C(C)N=C(N(C)C)S3)=N2)C=C1,1,COC1=NC=C(NC2=NC=CC(C3=C(C)N=C(N(C)C)S3)=N2)C=C1,1,COc1ccc(cn1)Nc1nccc(n1)c1sc(nc1C)N(C)C,1,COc1ccc(Nc2nccc(-c3sc(N(C)C)nc3C)n2)cn1,1,1.0,1.0,1.0,1.0,0,0,0,0,48,48,48,38,39
P017,./images/P017.png,C(C)NC=1SC(=C(N1)C)C1=NC(=NC=C1)NC=1C=NC(=CC1)OC,CCNC1=NC(C)=C(C2=NC(NC3=CN=C(OC)C=C3)=NC=C2)S1,1,CCNC1=NC(C)=C(C2=NC(NC3=CN=C(OC)C=C3)=NC=C2)S1,1,CCNc1nc(c(s1)c1ccnc(n1)Nc1ccc(nc1)OC)C,1,c,0,1.0,1.0,1.0,0.0,0,0,0,39,48,46,46,38,1
P018,./images/P018.png,COCCNC=1SC(=C(N1)C)C1=NC(=NC=C1)NC=1C=NC(=CC1)OC,COCCNC1=NC(C)=C(C2=CC=NC(NC3=CN=C(OC)C=C3)=N2)S1,1,COCCNC1=NC(C)=C(C2=CC=NC(NC3=CN=C(OC)C=C3)=N2)S1,1,COCCNc1sc(c(n1)C)c1ccnc(n1)NC1=CN=C(C(C1)C)OC,0,COCCNc1nc(C)c(-c2ccnc(Nc3ccc(OC)nc3)n2)s1,1,1.0,1.0,0.6767889492753623,1.0,0,0,11,0,48,48,48,45,41
P019,./images/P019.png,COC1=CC=C(C=N1)NC1=NC=CC(=N1)C1=C(N=C(S1)N1CCOCC1)C,COC1=NC=C(NC2=NC(C3=C(C)N=C(N4CCOCC4)S3)=CC=N2)C=C1,1,COC1=NC=C(NC2=NC(C3=C(C)N=C(N4CCOCC4)S3)=CC=N2)C=C1,1,COc1ccc(cn1)Nc1nccc(n1)c1sc(nc1C)N1CCOCC1,1,CC(C)=C/C(=C\N)Nc1nccc(-c2sc(N3CCOCC3)nc2C)n1.CO,0,1.0,1.0,1.0,0.5795194508009154,0,0,0,20,51,51,51,41,48
P020,./images/P020.png,O1C2=C(OCCC1)C=C(C=C2)NC2=NC=CC(=N2)C=2C(=C1N(CCNC1=O)C2C)C,CC1=C2C(=O)NCCN2C(C)=C1C1=NC(NC2=CC3=C(C=C2)OCCCO3)=NC=C1,1,CC1=C2C(=O)NCCN2C(C)=C1C1=NC(NC2=CC3=C(C=C2)OCCCO3)=NC=C1,1,Cc1n2CCNC(=O)c2c(c1c1ccnc(n1)Nc1ccc2c(c1)OCCCO2)C,1,CC.CC1=C2C(=O)NCCN2C(C)C1c1ccnc(Nc2ccc3c(c2)OCCCOC3)n1,0,1.0,1.0,1.0,0.5604049020785774,0,0,0,42,59,57,57,49,54
P021,./images/P021.png,ClC=1C=C(C=CC1)NC1=NC=CC(=N1)C1=C2C=CNC2=CC=C1,ClC1=CC=CC(NC2=NC(C3=C4C=CNC4=CC=C3)=CC=N2)=C1,1,ClC1=CC=CC(NC2=NC(C3=C4\C=CN\C4=C/C=C\3)=CC=N2)=C1,1,C[C]1(C)(Cl)CC=CC(=C1)Nc1nccc(n1)c1cccc2c1cc[nH]2,0,Clc1cccc(Nc2nccc(-c3cccc4[nH]ccc34)n2)c1,1,1.0,1.0,0.0,1.0,0,0,40,0,46,46,50,49,40
P022,./images/P022.png,ClC=1C=C(C=CC1)NC1=NC=CC(=N1)C1=C2C=CN(C2=CC=C1)CCCO,OCCCN1C=CC2=C(C3=NC(NC4=CC=CC(Cl)=C4)=NC=C3)C=CC=C21,1,OCCCN1C=CC2=C(C3=NC(NC4=CC=CC(O)=C4)=NC=C3)\C=C/C=C\21,0,*CCCn1ccc2c1cccc2c1ccnc(n1)Nc1cccc(c1)Cl,0,O=NCCCn1ccc2c(-c3ccnc(Nc4cccc(Cl)c4)n3)cccc21,0,1.0,0.83635477582846,0.83635477582846,0.7813218390804597,0,2,1,2,52,52,54,40,45
P023,./images/P023.png,NCCCN1C=CC2=C(C=CC=C12)C1=NC(=NC=C1)NC1=CC(=CC=C1)Cl,NCCCN1C=CC2=C1C=CC=C2C1=NC(NC2=CC=CC(Cl)=C2)=NC=C1,1,CCC.NCCCN1C=CC2=C1/C=C\C=C/2C1=NC2(NC3=CC=CC(Cl)=C3)=NC=C12,0,NCCCn1ccc2c1cccc2c1ccnc(n1)Nc1cccc(c1)Cl,1,CCC.NCCCn1ccc2c(-c3ccnc(Nc4cccc(Cl)c4)n3)cccc21,1,1.0,0.0,1.0,0.9687272727272727,0,43,0,0,52,50,59,40,47
P024,./images/P024.png,ClC=1C=C(C=CC1)NC1=NC=CC(=N1)C=1C(=NC=CC1)NCCCNC(C)=O,CC(=O)NCCCNC1=NC=CC=C1C1=NC(NC2=CC=CC(Cl)=C2)=NC=C1,1,CC(=O)NCCCNC1=NC=CC=C1C1=NC(NC2=CC=CC(Cl)=C2)=NC=C1,1,CC(=O)NCCCNc1ncccc1c1ccnc(n1)Nc1cccc(c1)Cl,1,CC.CC(=O)NCCCNc1ncccc1-c1ccnc(Nc2cccc(Cl)c2)n1,1,1.0,1.0,1.0,0.9893590998043053,0,0,0,0,53,51,51,42,46
P025,./images/P025.png,ClC=1C=C(C=CC1)NC1=NC=CC(=N1)C1=C(C=NC=C1)OC,COC1=CN=CC=C1C1=NC(NC2=CC=CC(Cl)=C2)=NC=C1,1,COC1=CN=CC=C1C1=NC(NC2=CC=CC(Cl)=C2)=NC=C1,1,COc1cnccc1c1ccnc(n1)Nc1cccc(c1)Cl,1,CC.COc1cnccc1-c1ccnc(Nc2cccc(Cl)c2)n1,1,1.0,1.0,1.0,0.9859649122807017,0,0,0,0,44,42,42,33,37
P026,./images/P026.png,C(C)(C)(C)C1=CN=C(O1)CSC1=CN=C(S1)NC(CCCNCCC(=O)NO)=O,CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)CCCNCCC(=O)NO)S2)O1,1,CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)CCCNCCC(=O)NO)S2)O1,1,ONC(=O)CCNCCC(C=O)CNCc1ncc(s1)SCc1ncc(o1)C(C)(C)C,0,CC(C)(C)c1cnc(CSC2=CN=C(NC(=O)CCCNCCC(=O)NO)B2)o1,0,1.0,1.0,0.5621527777777777,0.7601220417250762,0,0,4,7,53,51,51,49,49
P027,./images/P027.png,C(C)(C)(C)C1=CN=C(O1)CSC1=CN=C(S1)NC(CCCNCCCCCC(=O)NO)=O,CC(C)C.O=C(CCCCCNCCCC(=O)NC1=NC=C(SCC2=NC=CO2)S1)NO,0,CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)CCCNCCCCCC(=O)NO)S2)O1,1,ONC(=O)CCCCCNCCCC(=O)Nc1ncc(s1)SCc1ncc(o1)C(C)(C)C,1,CC(C)(C)c1cnc(CSc2cnc(NC(=O)CCCNCCCCCC(=O)NO)s2)o1,1,0.7286116322701688,1.0,1.0,1.0,37,0,0,0,56,51,54,50,50
P028,./images/P028.png,C(C)(C)(C)C1=CN=C(O1)CSC1=CN=C(S1)NCC1CCN(CC1)C1=NC=C(C=N1)C(=O)NO,CC(C)(C)C1=CN=C(CSC2=CN=C(NCC3CCN(C4=NC=C(C(=O)NO)C=N4)CC3)S2)O1,1,CC(C)(C)C1=CN=C(CSC2=CN=C(NCC3CCC(C4=CC=C(C(=O)NO)C=N4)CC3)S2)O1,0,ONC(=O)c1cnc(nc1)N1CCC(CC1)CNc1ncc(s1)SCc1ncc(o1)C(C)(C)C,1,CC(C)(C)c1cnc(CSc2cnc(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)s2)o1,1,1.0,0.7627352254507609,1.0,1.0,0,2,0,0,66,64,64,57,57
P029,./images/P029.png,C1(CCCC1)N1C(=CC2=C1N=C(N=C2)NC2=NC=C(C=C2)N2CCNCC2)C#N,N#CC1=CC2=CN=C(NC3=NC=C(N4CCNCC4)C=C3)N=C2N1C1CCCC1,1,N#CC1=CC2=C/N=C(NC3=NC=C(N4CCNCC4)C=C3)\N=C\2N1C1CCCC1,1,N#Cc1cc2c(n1C1CCCC1)nc(nc2)Nc1ccc(cn1)N1CCNCC1,1,N#Cc1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,1,1.0,1.0,1.0,1.0,0,0,0,0,55,51,54,46,44
P030,./images/P030.png,C1(CCCC1)N1C(=CC2=C1N=C(N=C2)NC2=NC=C(C=C2)N2CC(NCC2)C)C#N,CC1CN(C2=CN=C(NC3=NC=C4C=C(C#N)N(C5CCCC5)C4=N3)C=C2)CCN1,1,CC1CN(C2=CN=C(NC3=NC=C4C=C(C#N)N(C5CCCC5)C4=N3)C=C2)CCN1,1,N#Cc1cc2c(n1C1CCCC1)nc(nc2)Nc1ccc(cn1)N1CCNC(C1)C,1,CC1CN(c2ccc(Nc3ncc4cc(C#N)n(C5CCCC5)c4n3)nc2)CCN1,1,1.0,1.0,1.0,1.0,0,0,0,0,58,56,56,49,49
P031,./images/P031.png,C1(CCCC1)N1C(=CC2=C1N=C(N=C2)NC2=NC=C(C=C2)N2CCNCCC2)C#N,N#CC1=CC2=CN=C(NC3=NC=C(N4CCCNCC4)C=C3)N=C2N1C1CCCC1,1,N#CC1=CC2=C/N=C(NC3=NC=C(N4CCCNCC4)C=C3)\N=C\2N1C1CCCC1,1,N#Cc1cc2c(n1C1CCCC1)nc(nc2)Nc1ccc(cn1)N1CCNCCC1,1,N#Cc1cc2cnc(Nc3ccc(N4CCCNCC4)cn3)nc2n1C1CCCC1,1,1.0,1.0,1.0,1.0,0,0,0,0,56,52,55,47,45
P032,./images/P032.png,C1(CCCC1)N1C(=CC2=C1N=C(N=C2)NC2=NC=C(C=C2)CO)C#N,N#CC1=CC2=CN=C(NC3=NC=C(CO)C=C3)N=C2N1C1CCCC1,1,N#CC1=CC2=CN=C(NC3=NC=C(CO)C=C3)N=C2N1C1CCCC1,1,OCc1ccc(nc1)Nc1ncc2c(n1)n(C1CCCC1)c(c2)C#N,1,N#Cc1cc2cnc(Nc3ccc(CN)cn3)nc2n1C1CCCC1,0,1.0,1.0,1.0,0.8343784078516903,0,0,0,1,49,45,45,42,38
P033,./images/P033.png,CN(C(=O)C1=CC2=C(N=C(N=C2)NC2=NC=C(C=C2)N2CCN(CC2)CCC#N)N1C1CCCC1)C,CN(C)C(=O)C1=CC2=CN=C(NC3=NC=C(N4CCN(CCC#N)CC4)C=C3)N=C2N1C1CCCC1,1,CN(C)C(=O)/C1=C/C2=CN=C(NC3=NC=C(N4CCN(CCC#N)CC4)C=C3)N=C2N1C1CCCC1,1,N#CCCN1CCN(CC1)c1ccc(nc1)Nc1ncc2c(n1)n(C1CCCC1)c(c2)C(=O)N(C)C,1,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN(CCC#N)CC4)cn3)nc2n1C1CCCC1,1,1.0,1.0,1.0,1.0,0,0,0,0,67,65,67,62,58
P034,./images/P034.png,CN(C(=O)C1=CC2=C(N=C(N=C2)NC2=NC=C(C=C2)N2CCN(CC2)CC(F)(F)F)N1C1CCCC1)C,CN(C)C(=O)C1=CC2=CN=C(NC3=NC=C(N4CCN(CC(F)(F)F)CC4)C=C3)N=C2N1C1CCCC1,1,CN(C)C(=O)C1=CC2=CN=C(NC3=NC=C(N4CCN(CC(F)(F)F)CC4)C=C3)N=C2N1C1CCCC1,1,CN(C(=O)c1cc2c(n1C1CCCC1)nc(nc2)Nc1ccc(cn1)N1CCN(CC1)CC(F)(F)F)C,1,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN(CC(F)(F)F)CC4)cn3)nc2n1C1CCCC1,1,1.0,1.0,1.0,1.0,0,0,0,0,71,69,69,64,62
P035,./images/P035.png,CN(C(=O)C1=CC2=C(N=C(N=C2)NC2=NC=C(C=C2)N2CCNCCC2)N1C1CCCC1)C,CN(C)C(=O)C1=CC2=CN=C(NC3=NC=C(N4CCCNCC4)C=C3)N=C2N1C1CCCC1,1,CN(C)C(=O)C1=CC2=CN=C(NC3=NC=C(N4CCCNCC4)C=C3)N=C2N1C1CCCC1,1,CN(C(=O)c1cc2c(n1C1CCCC1)nc(nc2)Nc1ccc(cn1)N1CCNCCC1)C,1,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCCNCC4)cn3)nc2n1C1CCCC1,1,1.0,1.0,1.0,1.0,0,0,0,0,61,59,59,54,52
P036,./images/P036.png,CN(C(=O)C1=CC2=C(N=C(N=C2)NC2=NC=C(C=C2)N2CC(CC2)N)N1C1CCCC1)C,CN(C)C(=O)C1=CC2=CN=C(NC3=NC=C(N4CCC(N)C4)C=C3)N=C2N1C1CCCC1,1,CN(C)C(=O)/C1=C/C2=CN=C(NC3=NC=C(N4CCC(N)C4)C=C3)N=C2N1C1CCCC1,1,NC1CCN(C1)c1ccc(nc1)Nc1ncc2c(n1)n(C1CCCC1)c(c2)C(=O)N(C)C,1,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCC(N)C4)cn3)nc2n1C1CCCC1,1,1.0,1.0,1.0,1.0,0,0,0,0,62,60,62,57,53
P037,./images/P037.png,CN(C(=O)C1=CC2=C(N=C(N=C2)NC2=NC=C(C=C2)N2CC(NCC2)C)N1C1CCCC1)C,CC1CN(C2=CN=C(NC3=NC=C4C=C(C(=O)N(C)C)N(C5CCCC5)C4=N3)C=C2)CCN1,1,CC1CN(C2=CN=C(NC3=NC=C4C=C(C(=O)N(C)C)N(C5CCCC5)C4=N3)C=C2)CCN1,1,CC1NCCN(C1)c1ccc(nc1)Nc1ncc2c(n1)n(C1CCCC1)c(c2)C(=O)N(C)C,1,CC1CN(c2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc2)CCN1,1,1.0,1.0,1.0,1.0,0,0,0,0,63,63,63,58,56
P038,./images/P038.png,CN(C(=O)C1=CC2=C(N=C(N=C2)NC2=NC=C(C=C2)N2CCN(CC2)CCF)N1C1CCCC1)C,CN(C)C(=O)C1=CC2=CN=C(NC3=NC=C(N4CCN(CCF)CC4)C=C3)N=C2N1C1CCCC1,1,CN(C)C(=O)C1=CC2=CN=C(NC3=NC=C(N4CCN(CCF)CC4)C=C3)N=C2N1C1CCCC1,1,FCCN1CCN(CC1)c1ccc(nc1)Nc1ncc2c(n1)n(C1CCCC1)c(c2)C(=O)N(C)C,1,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN(CCF)CC4)cn3)nc2n1C1CCCC1,1,1.0,1.0,1.0,1.0,0,0,0,0,65,63,63,60,56
P039,./images/P039.png,CN(C(=O)C1=CC2=C(N=C(N=C2)NC2=NC=C(C=C2)N2CCN(CC2)CC#N)N1C1CCCC1)C,CN(C)C(=O)C1=CC2=CN=C(NC3=NC=C(N4CCN(CC#N)CC4)C=C3)N=C2N1C1CCCC1,1,CN(C)C(=O)/C1=C/C2=CN=C(NC3=NC=C(N4CCN(CC#N)CC4)C=C3)N=C2N1C1CCCC1,1,N#CCN1CCN(CC1)c1ccc(nc1)Nc1ncc2c(n1)n(C1CCCC1)c(c2)C(=O)N(C)C,1,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN(CC#N)CC4)cn3)nc2n1C1CCCC1,1,1.0,1.0,1.0,1.0,0,0,0,0,66,64,66,61,57
P040,./images/P040.png,CN(C(=O)C1=CC2=C(N=C(N=C2)NC2=NC=C(C=C2)N2CCN(CC2)CCOC)N1C1CCCC1)C,COCCN1CCN(C2=CN=C(NC3=NC=C4C=C(C(=O)N(C)C)N(C5CCCC5)C4=N3)C=C2)CC1,1,COCCN1CCN(C2=CN=C(NC3=NC=C4/C=C(/C(=O)N(C)C)N(C5CCCC5)C4=N3)C=C2)CC1,1,COCCN1CCN(CC1)c1ccc(nc1)Nc1ncc2c(n1)n(C1CCCC1)c(c2)C(=O)N(C)C,1,COCCN1CCN(c2ccc(Nc3ncc4cc(C(=O)N(C)C)n(C5CCCC5)c4n3)nc2)CC1,1,1.0,1.0,1.0,1.0,0,0,0,0,66,66,68,61,59
P041,./images/P041.png,CN(C(=O)C1=CC2=C(N=C(N=C2)NC2=NC=C(C=C2)N2CCN(CC2)CC(N)=O)N1C1CCCC1)C,CN(C)C(=O)C1=CC2=CN=C(NC3=NC=C(N4CCN(CC(N)=O)CC4)C=C3)N=C2N1C1CCCC1,1,C[N+]1(C)C(=O)C2=CC3=CN=C(NC4=NC=C(N5CCN(CC(N)=O)CC5)C=C4)N=C3N2C2CCC[C@H]21,0,NC(=O)CN1CCN(CC1)c1ccc(nc1)Nc1ncc2c(n1)n(C1CCCC1)c(c2)C(=O)N(C)C,1,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN(CC(N)=O)CC4)cn3)nc2n1C1CCCC1,1,1.0,0.7193421436206394,1.0,1.0,0,18,0,0,69,67,76,64,60
